Impedivity,PhaseAngle,HFSlope,Impendance,AreaSpectrum,AreaNorm,MaxSpectrum,DistanceReal,LengthCurve,target
250.0,0.087,0.093,29.638,180.761,6.099,26.142,13.963,280.123,gla
197.0,0.133,0.074,33.461,409.647,12.243,26.993,19.774,231.784,gla
197.0,0.133,0.074,33.461,409.647,12.243,26.993,19.774,231.784,gla
216.413,0.118,0.068,53.6,280.445,5.232,22.791,48.513,215.373,gla
178.0,0.15,0.099,40.291,474.405,11.775,25.921,30.845,209.181,gla
185.0,0.15,0.085,39.891,361.748,9.068,26.861,29.493,210.179,gla
391.0,0.058,0.011,35.78,265.15,7.411,22.131,28.114,400.995,gla
502.0,0.065,0.028,53.239,834.273,15.67,33.331,41.515,544.039,gla
176.0,0.09,0.077,20.589,79.705,3.871,18.226,9.575,191.993,gla
145.0,0.118,0.11,21.219,82.456,3.886,20.303,6.167,162.511,gla
124.129,0.132,0.109,20.593,78.343,3.804,18.462,9.121,134.893,gla
1724.09,0.053,-0.021,404.126,3053.967,7.557,71.428,399.194,1489.387,con
1385.665,0.092,0.089,202.48,8785.029,43.387,143.092,143.258,1524.609,con
1084.247,0.073,0.0,191.898,2937.972,15.31,66.564,179.984,1064.104,con
649.369,0.108,0.019,207.112,3344.433,16.148,50.547,200.849,623.909,con
1500.0,0.057,0.05,375.097,4759.455,12.689,78.446,366.802,1336.159,con
770.0,0.042,0.002,175.02,346.091,1.977,25.222,173.193,654.798,con
650.0,0.041,0.145,216.811,427.534,1.972,33.765,214.166,528.699,con
1461.75,0.041,0.05,391.846,5574.003,14.225,57.231,387.644,1428.84,con
1270.667,0.079,0.066,555.352,3612.968,6.506,68.782,551.076,895.187,con
1647.94,0.081,0.087,576.77,11852.485,20.55,111.436,565.903,1402.878,con
1535.851,0.088,0.004,637.35,10814.05,16.967,96.61,632.165,1197.762,con
1800.0,0.034,0.043,301.06,4406.154,14.635,67.625,293.367,1742.376,adi
2100.0,0.122,0.378,450.552,35671.606,79.173,436.1,113.199,2461.45,adi
1666.149,0.012,0.058,72.931,1402.232,19.227,51.855,58.596,1746.578,adi
1700.0,0.044,0.105,120.653,12331.103,102.203,120.297,-9.258,2212.178,adi
1949.118,0.052,0.017,170.331,3212.077,18.858,101.456,136.819,1941.367,adi
1850.0,0.079,0.069,253.621,13113.203,51.704,160.065,196.73,1916.985,adi
2350.0,0.082,0.272,515.289,27758.64,53.87,289.569,426.231,2457.677,adi
1800.0,0.092,0.205,362.863,15021.554,41.397,217.834,290.204,1893.664,adi
1900.0,0.054,0.114,272.618,7481.593,27.444,138.359,234.898,1924.518,adi
1800.0,0.069,0.157,385.565,13831.725,35.874,157.57,351.897,1823.032,adi
1850.0,0.073,0.225,325.192,8644.984,26.584,208.74,249.353,1908.177,adi
1650.0,0.048,0.043,274.426,5824.895,21.226,81.24,262.126,1603.07,adi
2800.0,0.083,0.184,583.259,31388.653,53.816,298.583,501.038,2896.582,adi
2329.84,0.066,0.353,377.253,25369.04,67.247,336.075,171.387,2686.435,adi
2400.0,0.084,0.221,596.042,37939.256,63.652,261.348,535.689,2447.772,adi
2000.0,0.067,0.124,330.272,15381.098,46.571,169.198,283.64,2063.073,adi
2000.0,0.107,0.105,520.223,40087.921,77.059,204.09,478.517,2088.649,adi
2600.0,0.07,0.049,745.474,39845.774,53.45,154.123,729.368,2545.42,adi
551.879,0.232,0.064,264.805,11888.392,44.895,77.793,253.785,656.769,car
423.0,0.22,0.262,172.371,6108.106,35.436,79.056,153.173,558.275,car
410.0,0.318,0.297,255.815,10622.547,41.524,67.523,246.743,508.54,car
325.0,0.225,0.287,229.216,5705.332,24.891,35.603,227.265,462.703,car
245.0,0.189,0.082,62.903,1235.983,19.649,42.152,46.69,292.376,fad
341.62,0.092,0.074,85.043,1370.838,16.119,29.029,79.935,385.133,fad
155.0,0.173,0.119,38.94,415.112,10.66,25.837,29.134,184.817,fad
178.0,0.171,0.213,41.542,489.441,11.782,35.748,21.162,215.906,mas
196.365,0.183,0.142,54.583,843.263,15.449,34.149,42.581,239.944,mas
281.323,0.232,0.438,157.884,5305.123,33.601,46.384,150.917,398.896,mas
327.0,0.141,0.084,76.213,1664.674,21.842,43.222,62.772,379.262,mas
152.0,0.166,0.228,34.22,94.354,2.757,31.279,13.877,180.61,gla
303.0,0.063,0.04,22.568,102.5,4.542,21.831,5.721,321.647,gla
103.0,0.158,0.292,23.755,78.258,3.294,22.324,8.121,124.979,gla
691.972,0.026,0.087,190.677,304.271,1.596,23.976,189.163,594.316,con
1496.736,0.104,0.082,640.276,11071.998,17.293,108.287,631.052,1178.274,con
1111.814,0.099,0.071,386.987,7659.742,19.793,86.025,377.305,990.979,con
2100.0,0.062,-0.045,390.483,16640.724,42.616,125.9,380.645,2073.029,adi
2600.0,0.201,0.208,1063.441,174480.476,164.072,418.687,977.552,2664.584,adi
1600.0,0.072,-0.066,436.944,12655.342,28.963,103.733,432.13,1475.372,adi
2300.0,0.045,0.137,185.446,5086.292,27.427,178.692,49.593,2480.592,adi
